Price,終値,高値,安値,始値,出来高
Ticker,8316.T,8316.T,8316.T,8316.T,8316.T
Date,,,,,
2022-08-16,1225.6064453125,1232.407228977804,1222.6496864237824,1228.5633124836056,11418000
2022-08-17,1238.025146484375,1245.4172603345262,1231.8158011693167,1232.9985697044099,20188800
2022-08-18,1230.6331787109375,1237.7295735746577,1230.0417402840326,1237.4338543612052,9650700
2022-08-19,1238.61669921875,1239.2080293996826,1229.7462050927682,1237.1382113428203,12040500
2022-08-22,1239.2080078125,1244.2345849688597,1235.6598102239175,1236.2511403945489,13221000
2022-08-23,1227.3804931640625,1237.4337545038609,1225.9021137808859,1236.842424407067,15276600
2022-08-24,1239.2080078125,1242.1648752304513,1230.0417946145292,1231.224563238189,16964100
2022-08-25,1239.7991943359375,1243.6431107056658,1235.0683369542246,1239.2078642338195,12018900
2022-08-26,1242.46044921875,1245.7130357664703,1236.8425420588583,1237.7295914296194,11563500
2022-08-29,1238.61669921875,1241.5734584058114,1225.6065689790437,1228.563436448504,15069000
2022-08-30,1246.8958740234375,1250.1484610353511,1243.643395293933,1245.7132135485683,14734200
2022-08-31,1240.094970703125,1245.7129859206118,1236.5467733620574,1242.1647885795442,27710700
2022-09-01,1239.5035400390625,1246.8955450451367,1234.7725745405655,1238.9121016752624,15059400
2022-09-02,1244.2344970703125,1244.2344970703125,1236.2510530599893,1240.3906888091574,12398400
2022-09-05,1241.2779541015625,1252.5138781990133,1240.6865155874173,1247.7829114978933,10880700
2022-09-06,1245.4173583984375,1248.374225827799,1240.982111395594,1245.4173583984375,9994800
2022-09-07,1239.5035400390625,1260.2012839949273,1236.5466730672044,1250.4437420984143,21513300
2022-09-08,1267.2977294921875,1268.4804979853698,1246.5999846969999,1247.7826449077972,28511100
2022-09-09,1277.6468505859375,1281.4906591170418,1268.18491816538,1269.9590169589349,26221500
2022-09-12,1279.1251220703125,1282.9690385590127,1272.915776817544,1282.6733193576088,12006900
2022-09-13,1278.238037109375,1282.3775644016755,1275.5768892180995,1278.829367213308,12219600
2022-09-14,1274.9857177734375,1278.2381961733847,1264.0454056537635,1265.523785238758,17874000
2022-09-15,1274.0986328125,1277.6468303433935,1267.8892871334363,1276.7597809606702,11939100
2022-09-16,1286.2216796875,1288.5871087514122,1275.2813672374034,1275.8728057151827,24781800
2022-09-20,1287.99560546875,1297.457428735273,1285.9257876394784,1295.6833301051508,15587100
2022-09-21,1282.377685546875,1293.3179973386589,1282.377685546875,1288.2914202744098,16403400
2022-09-22,1286.8128662109375,1288.5869648813948,1278.5338112703962,1282.6733387406668,20013600
2022-09-26,1244.825927734375,1272.0287377283457,1243.0518290764553,1271.4374076031688,33277500
2022-09-27,1249.556884765625,1260.7929160150993,1240.9821099972555,1242.164878624147,23827800
2022-09-28,1232.998779296875,1243.3476538203388,1217.3276078843598,1242.4606043388303,28093800
2022-09-29,1255.195556640625,1260.3646872706581,1239.6880533972453,1246.6815961735583,23823600
2022-09-30,1223.572509765625,1251.5467935930926,1217.7951672352615,1247.5938632982873,22780500
2022-10-03,1222.9642333984375,1223.8764394679424,1204.72011200834,1210.1933484253693,20306400
2022-10-04,1265.5340576171875,1266.1421579432003,1239.3840732992592,1241.8166973098942,22083600
2022-10-05,1265.2298583984375,1274.6560251990518,1258.5403098928452,1267.9664766934593,18550800
2022-10-06,1274.656005859375,1277.6966185721878,1263.7095328453727,1265.229839201779,15444900
2022-10-07,1259.1485595703125,1269.486821428337,1257.6281417916189,1259.1485595703125,15011700
2022-10-11,1258.8443603515625,1269.7908330502717,1253.6752298060426,1261.8850843300747,17942400
2022-10-12,1254.2833251953125,1264.6216975995303,1250.9386067792177,1258.84435546875,11513400
2022-10-13,1246.9857177734375,1255.8036728076959,1245.1613056040544,1254.5874722636283,14092800
2022-10-14,1272.8316650390625,1279.2171079885004,1265.838010430343,1269.486834972879,19738200
2022-10-17,1246.9857177734375,1275.8722066709115,1246.073511688746,1270.3989701627618,26584800
2022-10-18,1247.89794921875,1258.844422457511,1239.9922001085174,1258.2363221731189,18383400
2022-10-19,1243.6409912109375,1246.3776094473285,1239.6880610850571,1241.8165790533437,14806200
2022-10-20,1248.2020263671875,1256.1077752958302,1242.7287898735237,1243.6409959558011,15229800
2022-10-21,1254.5875244140625,1257.628137253905,1243.6410509427424,1243.9450454147548,12768300
2022-10-24,1267.0543212890625,1275.5682823319737,1260.9729841745764,1271.3112461338742,16172700
2022-10-25,1280.737548828125,1285.9066803547264,1272.8317986074464,1275.2643114399707,20172900
2022-10-26,1280.737548828125,1291.6840236044338,1279.2172422269598,1281.953860921037,14217600
2022-10-27,1250.0264892578125,1278.608873426853,1246.377664780634,1277.0885670124574,21742500
2022-10-28,1247.2900390625,1263.4056455583534,1247.2900390625,1260.0609264544257,19824900
2022-10-31,1268.878662109375,1270.094974005098,1256.1077769407686,1257.3240888364917,18527700
2022-11-01,1274.35205078125,1282.5619065128399,1272.5276383964522,1280.4333882794776,14547300
