Price,終値,高値,安値,始値,出来高
Ticker,8308.T,8308.T,8308.T,8308.T,8308.T
Date,,,,,
2021-12-07,396.34075927734375,396.5213355643586,388.30561044250015,389.11814862992065,10860900
2021-12-08,397.3338928222656,401.5771602500432,396.7921914872947,397.06302837874296,9203300
2021-12-09,394.9865417480469,397.06303140383534,393.90313906985097,395.70879183212776,7433000
2021-12-10,394.6253967285156,400.22290347696105,394.5351085845576,397.42416387877495,9966800
2021-12-13,395.61846923828125,398.8686216593882,394.89619171531393,397.96579541973176,8582900
2021-12-14,397.06292724609375,397.69491656793673,392.4585359517738,394.7156013125453,9616700
2021-12-15,401.93829345703125,403.02166852265043,397.78528682530816,399.04923817790046,12950300
2021-12-16,408.07745361328125,408.07745361328125,402.84107253022194,405.0981380922423,11894800
2021-12-17,406.5426940917969,411.6888153039254,406.36214535317094,410.06373889592356,13889900
2021-12-20,394.0837097167969,400.9451956254881,392.6391820172712,399.771504815591,10862100
2021-12-21,399.22979736328125,402.20911310620215,396.06990534112253,397.24356849995274,7956200
2021-12-22,399.22979736328125,402.11882496658325,397.6046935063565,401.3062868141568,5685800
2021-12-23,401.5771484375,402.02856161135156,399.5909470037974,399.77149574209386,3972300
2021-12-24,400.583984375,404.3758377740893,399.771418776846,402.9313103854546,2963000
2021-12-27,400.76458740234375,402.3896912668669,399.32005981790275,401.48686497060027,3387700
2021-12-28,404.1050720214844,404.1050720214844,401.5771417587146,402.66054437876926,5397700
2021-12-29,407.0843811035156,408.0774955633099,405.54959289480877,405.73014162708876,5818400
2021-12-30,403.92449951171875,406.8135548241682,403.6536626302087,405.4593153124713,4574100
2022-01-04,415.3903503417969,417.1960027861845,406.2717999872252,408.43857741007645,10771700
2022-01-05,421.8004150390625,424.8700186332334,418.2793707892069,420.8073007006948,11364400
2022-01-06,425.2311706542969,429.0230519866923,422.5226918603205,425.321458791177,12389800
2022-01-07,437.23876953125,438.95416155649025,427.9396695884481,428.66191961333806,15306500
2022-01-11,449.6075134277344,449.6075134277344,436.42624346743037,441.48207643807655,13444700
2022-01-12,452.8576354980469,453.4895973180638,446.5378519854603,449.6074556097313,14023100
2022-01-13,465.5875244140625,468.0251663950651,452.3159670545088,455.02444589914654,14415000
2022-01-14,462.3373107910156,465.49720273578106,458.63574512594744,464.14296333088157,14737200
2022-01-17,462.9693603515625,470.1017108523524,460.98315883089776,464.41391563362293,10131000
2022-01-18,456.8301086425781,472.90040579138935,447.71155748534545,466.0389479403918,18461000
2022-01-19,445.0933532714844,454.8438660140068,441.57233631179963,449.0657833683612,16967600
2022-01-20,436.787353515625,445.8156165279535,435.4331140637757,438.50274552962514,12887800
2022-01-21,435.5234069824219,437.3290596046973,426.0437307154758,436.33594515203134,9264400
